GIORNO_RECENSIONE;CODICE_PRODOTTO;NOME_PRODOTTO;CATEGORIA_PRODOTTO;SITO;RATING_ORIGINALE;TESTO_RECENSIONE
2024-09-04;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.2;De cor palha medio, aromas de pera e maçã amarela, algum melão fresco, massa de torta, limão e pedra calcaria. Acidez alta, mineralidade m/a, corpo medio perlage persistente, final m/p deixa discreto floral. Complexo, boa estrutura, delicioso!
2018-03-11;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.5;Al di là dello sfondo per cui ringrazio mia moglie che oggi si è superata in termini di sapore, qualità e guarnizione... Ti spunta questa bella bottiglia che ho ricevuto in regalo qualche annetto fa: delicato e dal perlage finissimo... Ottimo da riprovare!
2023-05-18;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.8;BB & B Grand Tasting Aromas of citrus and stone fruit. Smooth with nice acidity. Hint of sweetness. Lean and fresh. Decent finish.
2024-09-05;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Top quality sparkling wine ( Prosecco ) from Italy I would say dominate pear apple peach green apple lemon Aromas of wild flowers and citrus fruits are followed by flavors of apple, minerals white peachapricot, lemon, lime, nectarine and white peach, as well as interesting mineral notes. expect additional brioche and buttery flavors.
2020-05-30;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Extremely light color and subtle palate at first. Hints of pear and white currant. Some herbs and flavours are developing in time. Finish is very refreshing and crispy. Probably the best Prosecco tasted so far.
2019-05-21;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Great and opulent nose of stone fruit, peach and pear, pretty well balanced and elegant.  Perfect balance on the palate. The fruit is opulent but not overwhelming, the length lasts, the finish with a touch of salt is good too.  
2018-08-11;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Very pale lemon color with floral and peachy aromas. It’s a creamy, delicate and pleasant prosecco that feel like off-dry, nice structure. The finish could be longer and seems to have a bit too much sugar, but still very good.
2025-08-24;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;[WSET D4 Sparkling Blind tasting class(3)] A delicate and refresh Glera 100% Cartizze Sparkling. Cartizze is the most prestigious vineyard area within the Conegliano Valdobbiadene Prosecco Superiore DOCG zone in Veneto, Italy. Pale lemon color. M+ intense nose.  Notes of lemon, ripe apple, pear, white peach, melon, hawthorn, thyme, almond.  Off-dry, M+ acidity, M alcohol(11.5%), M+ body, M+ flavor intensity, M+ finish, M+ complexity. Not suitable for bottle ageing.
2015-06-13;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.5;Прекрасное! Очень свежее: фрукты, травы и цветы. Отличный баланс, деликатный перляж.
2026-01-02;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.1;Груша, яблоко
2014-05-12;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Excelente vinho,taninos fortes e encorpado,final na boca marcante com toque de frutas vermelhas,chocolate e pimenta.um ótimo vinho para o dia/dia.
2014-11-15;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Brut di Villa Sandi dal gusto delicato un mix tra un vino bianco da tavolo ed un prosecco sciabolato con il metodo sabrage dal medesimo 
2017-03-10;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.5;Fresco, fruttato e con un acidità ottima, 1..2..3.. finita la cassa!
2023-06-22;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Tasted during Gambero Rosso Montréal 2023. No notes. Just rating. I'm keeping track of what I like or  not like.
2025-09-26;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.9;3 word review: crunchy green apple, tart lemon pulp, Good minerality.  Lovely fresh Prosecco from Cartizze
2025-02-02;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.5;This is a rich prosecco.  Golden color. Almost creamy.  Lingering finish that is light acid and light bubbles.
2016-04-10;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.5;Gambero Rosso 2016! Meu sonho era tomar um Cartizze. 1,7 hec para os melhores proseccos.  Essa foi uma maravilhosa oportunidade! Foi um espumante muitíssimo especial. Realmente foi um mega espumante.  Delicadeza, aromas, sabor, frescor, persistência. 
2021-06-25;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Ein cartizze brut. Relativ trocken, sehr gehaltvoll, leichte frucht im abgang. Nicht so mein stil aber toll gemacht!Essensbegleiter! 17 P 3 gläser 22€
2017-11-26;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.5;Обычное просекко, сладковатое, без особого изящества, с фруктами и цитрусами. Думаю, с мандаринкой было бы интереснее )
2015-06-23;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Very dry. Bubbles stay on the tongue, but not over carbonated.  Pleasant after taste.
2015-05-19;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Naso intenso di mela golden albicocca e poi sfumature di miele e pasticceria. Spuma cremosa e giusta acidità con residuo zuccherino non proprio brut. Molto piacevole alla beva
2016-01-30;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;5.0;Da sballo. Superlativo
2015-12-03;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Lychee, flowers and pear aromas. Slightly herbal taste. Deliciously creamy.
2025-09-04;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.9;Mushroom pear citrus
2016-04-10;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Fruity and creamy with good perlage. Good as aperitif.
2017-11-18;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;5.0;2nd bottle during a year, vety nice persistent lemon finish.
2021-09-23;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;White flower + white peach + sage + almond  Lovely mousse
2017-05-16;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Giallo paglierino scarico. Perlage fine e persistente e intenso. Al naso frutta, mela golden, frutta esotica e agrumi. Floreale di acacia e glicine. Asciutto secco morbido, con  finale fruttato
2017-08-27;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Really good crisp what Prosecco should be
2017-08-03;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Very complex wine with notes of brioche and peaches. Great acidity and nice perlage. 
2025-10-28;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;pear apple cream green apple
2014-11-03;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;As prosecco, it's good
2024-07-28;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.5;Ko da mehhh priced at 7k compwred eith other varieties did not feel like it was worth it at all. Kinda too sweet but again compared with other not worth it price is high as supply and location is in demand but do not translates to taste
2023-06-03;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.8;@4️⃣days to go ! Wset level4 D4 tasting practice. Pale lemon color, mid intensity of nose with apple, green apple, pear, peach, white peach, dried apple, lemon, blossom, acasia, slight cream, wet stone. Brut, off dry, 12g/L residual sugar, mid body, mid+ acidity 5.5g/L acidity, mid  11.5% alc. Mid falvour intensity. Great balance of fruitiness and level of sugar supported by mid+ acidity. Glera 100%. Without exam, I probably never have a chance to try Cartizze. Interesting findings 😄
2015-07-18;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.5;Acacia flowers, and other white flowers with lovely high notes, lower notes of pear and golden apple. Shy sparkles, lovely sweet golden apple entry turns a bit sour with a heavy minerality. Great drinkability. 3.8
2019-04-19;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.5;Cor amarelo palha claro, maçã verde,  pêssego,  cítrico,  boa acidez,  perlage fina e abundante, persistência de média a longa. 
2016-01-01;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.5;Need to re-taste this as it was about the 10th glass in at a wine dinner... That said, I was amazed at the wonderful nose on this - was my most lasting impression of the whole dinner. 
2019-12-31;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;.. aperitivo propedeutico al “Cenone” di questa sera.. e si continua a festeggiare.. bene così..  .. e che il 2020 sia un buon anno per tutti gli amici di Vivino.!!! ❤️❤️❤️🔝  .. simply Prosecco not a simple Prosecco.. (cit.)
2015-07-18;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Azienda dai numeri importanti 2,5m di bottiglie, di cui il prosecco è il fiore all'occhiello. Lo spumante parte direttamente dal mosto.  Al profumo fiori mele golden e pera ma anche frutti esotici dolci.  Alla bocca persistente.  Dedicato per tutto il pasto,  dell'aperitivo al brindisi
2023-11-06;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;5.0;2022  Нос: желтое яблоко, миндаль, дыня, белые цветы, мед-пыльца, сливочность, хлебушек,  Интенсивность: сред  Рот: грейпфрутовая корка, свежесть трав, горечь миндаля Интенсивность: сред   Сахар: brut Кисл: сред Тело: сред Финиш: сред Алк: инт Текстура: фруктовая  Cтиль: утонченный, вау не возникло, 10к не отдал бы. Нужно прислушиваться, но как только это сделаешь – вау – многогранный нос Балл / впечатление: 91/100 уверенно
2016-06-21;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Piacevole sorpresa. Premetto che non sono un prosecchista...anzi. Però questo cartizze di Villa Sandi mi ha colpito. Fresco, dalla bollicine fine e ben presente. Equilibrato e non aggressivo. Morbido in bocca ma al tempo stesso pieno. Insomma completo
2015-01-22;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Un grandissimo prosecco nella sua sotto denominazione Cartizze che raggiunge una grande persistenza e finezza aromatica. In bocca è equilibrato e ottimamente bilanciato dal livello zuccherino di un Brut
2017-03-12;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;5.0;Frizzante fruttato 
2023-06-25;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Tasting 2003 gran cru! Master Class pirâmide do prosecco com Vinícius Santiago!
2015-10-21;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Nice sparkling from Villa Sandi!
2015-06-18;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Very nice. Dry.
2016-12-02;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;3,9* понравилось
2022-10-14;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Le Clos tasting 
2017-06-17;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;5.0;Ottimo!
2020-07-13;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Ottimo cartizze 
2017-05-18;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;상당히 부드러움
2025-09-05;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.9;89/100. Приятное очень сочное и кислотное, во вкусе ненавязчиво тонко цветочное и цитрусовое. Понравилось
2015-08-21;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Super Prosecco, trocknen aber nicht zu trocken. Durch nur 11,5 % Alkohol und Leichtigkeit ideal für einen heißen Tag.
2026-03-08;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.8;Che bel prosecco! Bolla super fine, naso intenso e beva divertente. Tutto quello che dovrebbe essere un Prosecco.
2022-11-25;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.5;(3.5*) Masterclass do Gambero Rosso no Hotel Unique
2020-05-02;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.5;Good, easy going Prosecco.
2023-07-21;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.7;Clean, lemon and mint. Feels bone dry, high acidity, medium finish
2015-05-14;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.5;My rating 3,8 . The grand cru of prosecco   . 102 ha 200 producer
2025-05-05;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.5;Tropical.  Delicious.
2015-03-22;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.5;Good prosecco with fresh apples aromas and a grapey twist. Zesty and not overly sweet.
2018-07-11;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.5;Nice and fruity. Very fresh!
2016-08-30;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Semplicemente il miglior prosecco per me sul mercato
2021-10-13;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Сливки с бананом, это топ 
2018-11-23;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Реально неплохое просекко, но и цена стремится вверх ближе к шампанскому. Возникает дилемма)
2020-05-10;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Einer der Besten aus seiner Region 
2022-04-25;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Descubriendo Cartizze con los webinar de WSET. 
2017-03-10;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Очень хорошо! Смело брать!
2023-10-14;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.7;#BeWine Цвет лимонный. Аромат средней- интенсивности, нежный: много белых цветов и яблочный сок. Брют. Кислотность средняя+. Спиртуозность низкая. Лёгкое. Послевкусие средней+ интенсивности и продолжительности. Доминирует живчик. Не проникся. Оверпрайс.
2023-07-30;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.8;Prosecco de uma das melhores regiões de Valdobbiadene. Solos com videiras antigas e de calcário. Amarelo palha. Perlage fina e persistente. Olfato médio+ de peras e maçãs doces, abacaxis e toque floral de acácia. No palato é seco, tem boa intensidade, acidez elevada, corpo médio, concentração média de sabores, e final com média persistência.  JS 91 pts. Degustado no Master Class do evento Gambero Rosso, Hotel Unique, São Paulo.
2021-08-09;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.8;Вот и попробовал Картицце. Груша, цитрусы, цветочные ноты. Сахара многовато (около 30 г/л), но при этом во вкусе показалось интереснее обычных просекко (а может сработала магия этикетки) - с желтыми фруктами и минеральностью. В России нет, в Европе около 25е. 3,8 Tre Bicchieri Spb 2021
2021-08-01;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.5;Картицце - не такой уж и маленький этот холм, аж на 106га виноградников. Аромат в дюшес и лимоны, даже в лимонное джелато. Отточенный баланс во вкусе, универсально по гастрономии, тонкий перляж, достоточно нежный (неоднократные 3GR все же) вкус, много мела, минеральщины, белых фруктов. Для просекко - очень хорошо. И, по ходу, они сами это понимают и дистанцируются от этого слова на этикетке) 3,65.
2026-01-23;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.1;Very good
2020-11-02;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.5;Leider drüber. 
2025-10-12;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.8;88/100
2018-10-05;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;5.0;Love!!
2016-02-21;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.0;Not exactly a big fan of sparkling wines. Too much bubbles, flavours a little too light. 
2015-10-28;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.5;Excellent, not so dry
2019-10-22;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.5;Awesome!
2018-12-12;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.5;3,7 оч неплохо. 3 🍷🍷🍷
2025-04-30;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.7;這款酒是在某人的酒櫃裡找到的老酒。 聞香有些熟鳳梨、木質的氣味、細聞的感覺很不錯，很有熟成的風味。喝起來氣泡消散很快，滋味偏淡。或許是因為陳年時間已久，不太能陳年。
2025-11-30;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.5;Decanter Fine Wine in London🍾
2021-03-08;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.5;Bel colore giallo paglierino con riflessi dorati.  Al naso sentori di mela pera e agrumi. 
2015-12-10;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Fresh & Dry a beautiful Prosecco from a wonderful vineyard.   Ville Sandi offers a multitude of wines that range from affordable to something special.   The Cartizze comes highly recommended 
2021-09-06;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Like the ads said: not every Prosecco is Cartizze! Hints of ripe pear, golden apple, banana, jasmine and acacia flower. High acid, fresh, dry and elegant on finish. It has a fantastic floral fruit taste with a touch of chamomile and almond. 
2026-02-27;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.1;Очень хорошо!
2023-08-23;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.3;Persistente, retrogusto piacevole. Importante la giusta temperatura per apprezzare al meglio
